postcode,rkey,time_period,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2257,r121,2017 Q3,400.0,383.0,3756.0,0.0,0.1399,,
2258,r121,2017 Q3,420.0,20.0,317.0,0.0244,-0.2593,,
2259,r121,2017 Q3,420.0,416.0,4761.0,0.0244,-0.0877,,
2260,r121,2017 Q3,490.0,209.0,2082.0,-0.0392,-0.0048,,
2261,r121,2017 Q3,390.0,472.0,5578.0,-0.025,-0.0635,,
2262,r121,2017 Q3,382.5,164.0,1769.0,0.0066,-0.159,,
2263,r121,2017 Q3,350.0,272.0,3002.0,0.0,-0.032,,
2264,r121,2017 Q3,392.5,122.0,1343.0,0.0329,-0.1812,,
2265,r121,2017 Q3,360.0,20.0,366.0,-0.1,-0.2857,,
2267,r121,2017 Q3,350.0,20.0,257.0,-0.0278,0.2308,,
2278,r121,2017 Q3,450.0,5.0,87.0,,-0.3333,,
2280,r121,2017 Q3,395.0,167.0,1935.0,0.0395,0.0183,,
2281,r121,2017 Q3,390.0,66.0,1034.0,-0.0127,-0.3196,,
2282,r121,2017 Q3,400.0,89.0,956.0,-0.0476,0.1867,,
2283,r121,2017 Q3,362.5,126.0,1542.0,-0.0461,0.115,,
2284,r121,2017 Q3,382.5,78.0,849.0,0.0625,-0.0127,,
2285,r121,2017 Q3,420.0,208.0,2229.0,0.05,0.0558,,
2286,r121,2017 Q3,390.0,20.0,210.0,0.04,-0.12,,
2287,r121,2017 Q3,400.0,347.0,3155.0,0.0127,0.1452,,
2289,r121,2017 Q3,420.0,157.0,1575.0,0.0,-0.0427,,
2290,r121,2017 Q3,390.0,236.0,2584.0,-0.0127,-0.0126,,
2291,r121,2017 Q3,400.0,159.0,1584.0,-0.1111,0.1197,,
2292,r121,2017 Q3,362.5,36.0,458.0,0.0357,0.0,,
2293,r121,2017 Q3,460.0,49.0,484.0,0.0222,0.225,,
2294,r121,2017 Q3,420.0,33.0,354.0,-0.0562,-0.0833,,
2295,r121,2017 Q3,490.0,74.0,612.0,0.0208,-0.0633,,
2296,r121,2017 Q3,410.0,37.0,407.0,0.025,0.0278,,
2297,r121,2017 Q3,410.0,20.0,258.0,0.025,0.5882,,
2298,r121,2017 Q3,360.0,165.0,1503.0,0.0286,0.1458,,
2299,r121,2017 Q3,355.0,147.0,1629.0,-0.0139,-0.087,,
2300,r121,2017 Q3,400.0,345.0,2962.0,-0.0476,0.1093,,
2302,r121,2017 Q3,457.5,20.0,248.0,0.0828,-0.7059,,
2303,r121,2017 Q3,410.0,105.0,1077.0,-0.0889,0.1053,,
2304,r121,2017 Q3,380.0,214.0,2322.0,-0.013,0.2738,,
2305,r121,2017 Q3,400.0,109.0,1201.0,-0.0244,-0.0684,,
