postcode,skey,time_period,year,quarter,dwelling_type,median_price,mean_price,sales_no,Qdelta_median,Adelta_median,Qdelta_count,Adelta_count,rkey,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2031,s122,2017 Q3,2017,Q3,Non Strata,2787.5,2962.5105,50.0,-0.0437,0.1436,-0.1071,0.0,r121,640.0,597.0,6731.0,-0.0154,0.1415,,
2031,s122,2017 Q3,2017,Q3,Strata,1016.0,1083.4518518,81.0,0.016,0.0972,-0.1649,-0.069,r121,640.0,597.0,6731.0,-0.0154,0.1415,,
2032,s122,2017 Q3,2017,Q3,Total,1170.0,1505.8620689000002,20.0,-0.4225,0.04,0.16,-0.2162,r121,560.0,274.0,2549.0,-0.0667,0.8514,,
2032,s122,2017 Q3,2017,Q3,Non Strata,2250.0,2251.6153846,20.0,-0.1133,0.2242,-0.1875,-0.2778,r121,560.0,274.0,2549.0,-0.0667,0.8514,,
2032,s122,2017 Q3,2017,Q3,Strata,868.5,899.9375,20.0,0.1135,0.0339,0.7778,-0.1579,r121,560.0,274.0,2549.0,-0.0667,0.8514,,
2033,s122,2017 Q3,2017,Q3,Total,1067.5,1407.9976666,48.0,0.0893,0.2138,-0.04,0.1429,r121,600.0,259.0,2414.0,0.0345,0.3015,,
2033,s122,2017 Q3,2017,Q3,Non Strata,712.5,743.804,5.0,,,,,r121,600.0,259.0,2414.0,0.0345,0.3015,,
2033,s122,2017 Q3,2017,Q3,Strata,973.5,1038.2972,40.0,0.0412,0.1521,-0.0698,0.0256,r121,600.0,259.0,2414.0,0.0345,0.3015,,
2034,s122,2017 Q3,2017,Q3,Total,1150.0,1431.7394366,71.0,-0.1188,-0.098,0.0758,-0.0533,r121,695.0,387.0,4046.0,0.0072,0.1835,,
2034,s122,2017 Q3,2017,Q3,Non Strata,2610.0,2680.5294117,20.0,-0.1153,0.1294,0.0,-0.1053,r121,695.0,387.0,4046.0,0.0072,0.1835,,
2034,s122,2017 Q3,2017,Q3,Strata,1064.0,1038.6018517999998,54.0,-0.0828,0.0587,0.102,-0.0357,r121,695.0,387.0,4046.0,0.0072,0.1835,,
2035,s122,2017 Q3,2017,Q3,Total,1100.0,1352.7477064,109.0,-0.1776,-0.0476,0.1354,-0.1066,r121,650.0,343.0,4312.0,0.0,-0.0058,,
2035,s122,2017 Q3,2017,Q3,Non Strata,1855.0,1997.2790697,43.0,-0.0133,0.0519,-0.0652,-0.2321,r121,650.0,343.0,4312.0,0.0,-0.0058,,
2035,s122,2017 Q3,2017,Q3,Strata,901.0,932.8257575,66.0,-0.0405,0.0763,0.32,0.0,r121,650.0,343.0,4312.0,0.0,-0.0058,,
2036,s122,2017 Q3,2017,Q3,Total,1199.0,1308.8734782,92.0,0.3983,0.09,0.0455,0.0698,r121,662.5,198.0,2865.0,0.0558,-0.1239,,
2036,s122,2017 Q3,2017,Q3,Non Strata,1912.5,1956.7368421,38.0,0.0566,0.0929,0.1515,0.0556,r121,662.5,198.0,2865.0,0.0558,-0.1239,,
2036,s122,2017 Q3,2017,Q3,Strata,762.33,852.9696296,54.0,0.0302,-0.0919,-0.0182,0.08,r121,662.5,198.0,2865.0,0.0558,-0.1239,,
