LGA,hhold_count_2016,hhold_count_2021,hhold_count_delta,year,Births_16_21,Deaths_16_21,  Natural change,  Net Migration (all sources),population_2021,population_2016,pop_delta,Adult,Child,MiddleAge,Senior,Youth
WAGGA WAGGA,24691,26230,1539,2016-2021,4163.0,2377.0,1786.0,443.0,66135.0,63906.0,2229.0,667,-94,477,1739,-559
WALCHA,1403,1392,-11,2016-2021,168.0,182.0,-14.0,-66.0,3050.0,3130.0,-80.0,-45,-31,-25,56,-35
WALGETT,2892,2804,-88,2016-2021,457.0,282.0,175.0,-310.0,6183.0,6317.0,-134.0,-44,-8,-175,79,11
WARREN,1191,1162,-29,2016-2021,243.0,139.0,104.0,-171.0,2729.0,2797.0,-68.0,-32,-1,-29,17,-24
WARRUMBUNGLE,4181,4102,-79,2016-2021,473.0,570.0,-97.0,-278.0,9187.0,9562.0,-375.0,-61,-186,-206,182,-102
WAVERLEY,29941,30076,135,2016-2021,6004.0,1881.0,4122.0,-2829.0,73306.0,72013.0,1293.0,-618,1602,420,294,-407
WEDDIN,1637,1591,-46,2016-2021,168.0,232.0,-65.0,-105.0,3507.0,3677.0,-170.0,-53,-43,-117,69,-28
WENTWORTH,2901,2939,38,2016-2021,433.0,315.0,118.0,-150.0,6900.0,6932.0,-32.0,-31,-25,-96,210,-89
WILLOUGHBY,28479,29751,1272,2016-2021,5455.0,2172.0,3283.0,-95.0,81076.0,77888.0,3188.0,-69,1044,963,1219,26
WINGECARRIBEE,19674,20577,903,2016-2021,1972.0,2457.0,-485.0,1535.0,50048.0,48998.0,1050.0,-149,-580,86,1517,177
WOLLONDILLY,16516,18402,1886,2016-2021,3552.0,1236.0,2316.0,1970.0,54140.0,49854.0,4286.0,748,553,986,1804,192
WOLLONGONG,81323,87168,5845,2016-2021,13169.0,8298.0,4871.0,7480.0,222745.0,210394.0,12351.0,4643,1772,2339,4078,-483
WOOLLAHRA,24350,24009,-341,2016-2021,3508.0,1961.0,1547.0,-1929.0,57362.0,57744.0,-382.0,-1552,820,181,478,-309
YASS VALLEY,6160,6482,322,2016-2021,892.0,584.0,308.0,-32.0,,16568.0,,-297,-198,294,556,-78
