Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MTW06P Method of Travel to Work (6 travel modes)","Count",
"Persons Place of Usual Residence","2748, NSW","Total",1879
"Persons Place of Usual Residence","2749, NSW","Public Transport",863
"Persons Place of Usual Residence","2749, NSW","Vehicle",6508
"Persons Place of Usual Residence","2749, NSW","Active Transport",59
"Persons Place of Usual Residence","2749, NSW","Other Mode",26
"Persons Place of Usual Residence","2749, NSW","Worked at home or Did not go to work",1072
"Persons Place of Usual Residence","2749, NSW","Mode not stated",66
"Persons Place of Usual Residence","2749, NSW","Not applicable",8331
"Persons Place of Usual Residence","2749, NSW","Total",16933
"Persons Place of Usual Residence","2750, NSW","Public Transport",2664
"Persons Place of Usual Residence","2750, NSW","Vehicle",14979
"Persons Place of Usual Residence","2750, NSW","Active Transport",551
"Persons Place of Usual Residence","2750, NSW","Other Mode",76
"Persons Place of Usual Residence","2750, NSW","Worked at home or Did not go to work",2494
"Persons Place of Usual Residence","2750, NSW","Mode not stated",136
"Persons Place of Usual Residence","2750, NSW","Not applicable",23905
"Persons Place of Usual Residence","2750, NSW","Total",44806
"Persons Place of Usual Residence","2752, NSW","Public Transport",110
"Persons Place of Usual Residence","2752, NSW","Vehicle",2105
"Persons Place of Usual Residence","2752, NSW","Active Transport",19
"Persons Place of Usual Residence","2752, NSW","Other Mode",6
"Persons Place of Usual Residence","2752, NSW","Worked at home or Did not go to work",307
"Persons Place of Usual Residence","2752, NSW","Mode not stated",21
"Persons Place of Usual Residence","2752, NSW","Not applicable",2347
"Persons Place of Usual Residence","2752, NSW","Total",4924
"Persons Place of Usual Residence","2753, NSW","Public Transport",524
"Persons Place of Usual Residence","2753, NSW","Vehicle",6185
"Persons Place of Usual Residence","2753, NSW","Active Transport",290
"Persons Place of Usual Residence","2753, NSW","Other Mode",57
"Persons Place of Usual Residence","2753, NSW","Worked at home or Did not go to work",1149
"Persons Place of Usual Residence","2753, NSW","Mode not stated",65
"Persons Place of Usual Residence","2753, NSW","Not applicable",8867
"Persons Place of Usual Residence","2753, NSW","Total",17134
"Persons Place of Usual Residence","2754, NSW","Public Transport",107
"Persons Place of Usual Residence","2754, NSW","Vehicle",2126
"Persons Place of Usual Residence","2754, NSW","Active Transport",41
"Persons Place of Usual Residence","2754, NSW","Other Mode",5
"Persons Place of Usual Residence","2754, NSW","Worked at home or Did not go to work",364
"Persons Place of Usual Residence","2754, NSW","Mode not stated",26
"Persons Place of Usual Residence","2754, NSW","Not applicable",3023
"Persons Place of Usual Residence","2754, NSW","Total",5695
"Persons Place of Usual Residence","2755, NSW","Public Transport",0
"Persons Place of Usual Residence","2755, NSW","Vehicle",49
"Persons Place of Usual Residence","2755, NSW","Active Transport",68
"Persons Place of Usual Residence","2755, NSW","Other Mode",0
"Persons Place of Usual Residence","2755, NSW","Worked at home or Did not go to work",19
"Persons Place of Usual Residence","2755, NSW","Mode not stated",0
"Persons Place of Usual Residence","2755, NSW","Not applicable",118
"Persons Place of Usual Residence","2755, NSW","Total",260
"Persons Place of Usual Residence","2756, NSW","Public Transport",905
"Persons Place of Usual Residence","2756, NSW","Vehicle",13643
"Persons Place of Usual Residence","2756, NSW","Active Transport",326
"Persons Place of Usual Residence","2756, NSW","Other Mode",77
"Persons Place of Usual Residence","2756, NSW","Worked at home or Did not go to work",2248
"Persons Place of Usual Residence","2756, NSW","Mode not stated",186
"Persons Place of Usual Residence","2756, NSW","Not applicable",16551
"Persons Place of Usual Residence","2756, NSW","Total",33934
"Persons Place of Usual Residence","2757, NSW","Public Transport",16
"Persons Place of Usual Residence","2757, NSW","Vehicle",328
"Persons Place of Usual Residence","2757, NSW","Active Transport",0
"Persons Place of Usual Residence","2757, NSW","Other Mode",5
"Persons Place of Usual Residence","2757, NSW","Worked at home or Did not go to work",65
"Persons Place of Usual Residence","2757, NSW","Mode not stated",7
"Persons Place of Usual Residence","2757, NSW","Not applicable",433
"Persons Place of Usual Residence","2757, NSW","Total",851
"Persons Place of Usual Residence","2758, NSW","Public Transport",211
"Persons Place of Usual Residence","2758, NSW","Vehicle",3417
"Persons Place of Usual Residence","2758, NSW","Active Transport",45
"Persons Place of Usual Residence","2758, NSW","Other Mode",17
"Persons Place of Usual Residence","2758, NSW","Worked at home or Did not go to work",715
"Persons Place of Usual Residence","2758, NSW","Mode not stated",56
"Persons Place of Usual Residence","2758, NSW","Not applicable",4250
"Persons Place of Usual Residence","2758, NSW","Total",8718
"Persons Place of Usual Residence","2759, NSW","Public Transport",1370
"Persons Place of Usual Residence","2759, NSW","Vehicle",10943
"Persons Place of Usual Residence","2759, NSW","Active Transport",91
"Persons Place of Usual Residence","2759, NSW","Other Mode",59
"Persons Place of Usual Residence","2759, NSW","Worked at home or Did not go to work",1347
"Persons Place of Usual Residence","2759, NSW","Mode not stated",99
"Persons Place of Usual Residence","2759, NSW","Not applicable",12420
"Persons Place of Usual Residence","2759, NSW","Total",26331
"Persons Place of Usual Residence","2760, NSW","Public Transport",2229
"Persons Place of Usual Residence","2760, NSW","Vehicle",10294
"Persons Place of Usual Residence","2760, NSW","Active Transport",217
"Persons Place of Usual Residence","2760, NSW","Other Mode",49
"Persons Place of Usual Residence","2760, NSW","Worked at home or Did not go to work",1274
"Persons Place of Usual Residence","2760, NSW","Mode not stated",179
"Persons Place of Usual Residence","2760, NSW","Not applicable",19585
"Persons Place of Usual Residence","2760, NSW","Total",33832
"Persons Place of Usual Residence","2761, NSW","Public Transport",2496
"Persons Place of Usual Residence","2761, NSW","Vehicle",10701
"Persons Place of Usual Residence","2761, NSW","Active Transport",150
"Persons Place of Usual Residence","2761, NSW","Other Mode",43
"Persons Place of Usual Residence","2761, NSW","Worked at home or Did not go to work",1225
"Persons Place of Usual Residence","2761, NSW","Mode not stated",137
"Persons Place of Usual Residence","2761, NSW","Not applicable",16211
"Persons Place of Usual Residence","2761, NSW","Total",30954
"Persons Place of Usual Residence","2762, NSW","Public Transport",459
"Persons Place of Usual Residence","2762, NSW","Vehicle",1711
"Persons Place of Usual Residence","2762, NSW","Active Transport",31
"Persons Place of Usual Residence","2762, NSW","Other Mode",11
"Persons Place of Usual Residence","2762, NSW","Worked at home or Did not go to work",312
"Persons Place of Usual Residence","2762, NSW","Mode not stated",11
"Persons Place of Usual Residence","2762, NSW","Not applicable",2440
"Persons Place of Usual Residence","2762, NSW","Total",4979
"Persons Place of Usual Residence","2763, NSW","Public Transport",3263
"Persons Place of Usual Residence","2763, NSW","Vehicle",10626
"Persons Place of Usual Residence","2763, NSW","Active Transport",132
"Persons Place of Usual Residence","2763, NSW","Other Mode",65
"Persons Place of Usual Residence","2763, NSW","Worked at home or Did not go to work",1600
"Persons Place of Usual Residence","2763, NSW","Mode not stated",129
"Persons Place of Usual Residence","2763, NSW","Not applicable",15050
"Persons Place of Usual Residence","2763, NSW","Total",30875
"Persons Place of Usual Residence","2765, NSW","Public Transport",639
"Persons Place of Usual Residence","2765, NSW","Vehicle",5298
"Persons Place of Usual Residence","2765, NSW","Active Transport",185
"Persons Place of Usual Residence","2765, NSW","Other Mode",36
"Persons Place of Usual Residence","2765, NSW","Worked at home or Did not go to work",988
"Persons Place of Usual Residence","2765, NSW","Mode not stated",51
"Persons Place of Usual Residence","2765, NSW","Not applicable",8917
"Persons Place of Usual Residence","2765, NSW","Total",16112
"Persons Place of Usual Residence","2766, NSW","Public Transport",1539
"Persons Place of Usual Residence","2766, NSW","Vehicle",4612
"Persons Place of Usual Residence","2766, NSW","Active Transport",91
"Persons Place of Usual Residence","2766, NSW","Other Mode",31
"Persons Place of Usual Residence","2766, NSW","Worked at home or Did not go to work",618
"Persons Place of Usual Residence","2766, NSW","Mode not stated",87
"Persons Place of Usual Residence","2766, NSW","Not applicable",8559
"Persons Place of Usual Residence","2766, NSW","Total",15536
"Persons Place of Usual Residence","2767, NSW","Public Transport",2655
"Persons Place of Usual Residence","2767, NSW","Vehicle",6511
"Persons Place of Usual Residence","2767, NSW","Active Transport",76
"Persons Place of Usual Residence","2767, NSW","Other Mode",45
"Persons Place of Usual Residence","2767, NSW","Worked at home or Did not go to work",854
"Persons Place of Usual Residence","2767, NSW","Mode not stated",102
"Persons Place of Usual Residence","2767, NSW","Not applicable",12280
"Persons Place of Usual Residence","2767, NSW","Total",22526
"Persons Place of Usual Residence","2768, NSW","Public Transport",3004
"Persons Place of Usual Residence","2768, NSW","Vehicle",9347
"Persons Place of Usual Residence","2768, NSW","Active Transport",165
"Persons Place of Usual Residence","2768, NSW","Other Mode",73
"Persons Place of Usual Residence","2768, NSW","Worked at home or Did not go to work",1581
"Persons Place of Usual Residence","2768, NSW","Mode not stated",120
"Persons Place of Usual Residence","2768, NSW","Not applicable",14458
"Persons Place of Usual Residence","2768, NSW","Total",28760
"Persons Place of Usual Residence","2769, NSW","Public Transport",1274
"Persons Place of Usual Residence","2769, NSW","Vehicle",3850
"Persons Place of Usual Residence","2769, NSW","Active Transport",38
"Persons Place of Usual Residence","2769, NSW","Other Mode",27
"Persons Place of Usual Residence","2769, NSW","Worked at home or Did not go to work",686
"Persons Place of Usual Residence","2769, NSW","Mode not stated",46
"Persons Place of Usual Residence","2769, NSW","Not applicable",5816
"Persons Place of Usual Residence","2769, NSW","Total",11732
"Persons Place of Usual Residence","2770, NSW","Public Transport",3501
"Persons Place of Usual Residence","2770, NSW","Vehicle",14650
"Persons Place of Usual Residence","2770, NSW","Active Transport",312
"Persons Place of Usual Residence","2770, NSW","Other Mode",93
"Persons Place of Usual Residence","2770, NSW","Worked at home or Did not go to work",1794
"Persons Place of Usual Residence","2770, NSW","Mode not stated",373
"Persons Place of Usual Residence","2770, NSW","Not applicable",40576
"Persons Place of Usual Residence","2770, NSW","Total",61302
"Persons Place of Usual Residence","2773, NSW","Public Transport",462
"Persons Place of Usual Residence","2773, NSW","Vehicle",2005
"Persons Place of Usual Residence","2773, NSW","Active Transport",57
"Persons Place of Usual Residence","2773, NSW","Other Mode",15
"Persons Place of Usual Residence","2773, NSW","Worked at home or Did not go to work",479
"Persons Place of Usual Residence","2773, NSW","Mode not stated",15
"Persons Place of Usual Residence","2773, NSW","Not applicable",2983
"Persons Place of Usual Residence","2773, NSW","Total",6009
"Persons Place of Usual Residence","2774, NSW","Public Transport",898
"Persons Place of Usual Residence","2774, NSW","Vehicle",4397
"Persons Place of Usual Residence","2774, NSW","Active Transport",98
"Persons Place of Usual Residence","2774, NSW","Other Mode",17
"Persons Place of Usual Residence","2774, NSW","Worked at home or Did not go to work",1054
"Persons Place of Usual Residence","2774, NSW","Mode not stated",38
"Persons Place of Usual Residence","2774, NSW","Not applicable",6425
"Persons Place of Usual Residence","2774, NSW","Total",12931
"Persons Place of Usual Residence","2775, NSW","Public Transport",31
"Persons Place of Usual Residence","2775, NSW","Vehicle",416
"Persons Place of Usual Residence","2775, NSW","Active Transport",31
"Persons Place of Usual Residence","2775, NSW","Other Mode",13
"Persons Place of Usual Residence","2775, NSW","Worked at home or Did not go to work",119
"Persons Place of Usual Residence","2775, NSW","Mode not stated",3
"Persons Place of Usual Residence","2775, NSW","Not applicable",883
"Persons Place of Usual Residence","2775, NSW","Total",1492
"Persons Place of Usual Residence","2776, NSW","Public Transport",240
"Persons Place of Usual Residence","2776, NSW","Vehicle",1432
"Persons Place of Usual Residence","2776, NSW","Active Transport",24
"Persons Place of Usual Residence","2776, NSW","Other Mode",4
"Persons Place of Usual Residence","2776, NSW","Worked at home or Did not go to work",305
"Persons Place of Usual Residence","2776, NSW","Mode not stated",17
"Persons Place of Usual Residence","2776, NSW","Not applicable",2005
"Persons Place of Usual Residence","2776, NSW","Total",4026
"Persons Place of Usual Residence","2777, NSW","Public Transport",936
"Persons Place of Usual Residence","2777, NSW","Vehicle",6015
"Persons Place of Usual Residence","2777, NSW","Active Transport",192
"Persons Place of Usual Residence","2777, NSW","Other Mode",34
"Persons Place of Usual Residence","2777, NSW","Worked at home or Did not go to work",1313
"Persons Place of Usual Residence","2777, NSW","Mode not stated",46
"Persons Place of Usual Residence","2777, NSW","Not applicable",9074
"Persons Place of Usual Residence","2777, NSW","Total",17606
"Persons Place of Usual Residence","2778, NSW","Public Transport",167
"Persons Place of Usual Residence","2778, NSW","Vehicle",804
"Persons Place of Usual Residence","2778, NSW","Active Transport",12
"Persons Place of Usual Residence","2778, NSW","Other Mode",0
"Persons Place of Usual Residence","2778, NSW","Worked at home or Did not go to work",207
"Persons Place of Usual Residence","2778, NSW","Mode not stated",8
"Persons Place of Usual Residence","2778, NSW","Not applicable",1232
"Persons Place of Usual Residence","2778, NSW","Total",2432
"Persons Place of Usual Residence","2779, NSW","Public Transport",284
"Persons Place of Usual Residence","2779, NSW","Vehicle",1578
"Persons Place of Usual Residence","2779, NSW","Active Transport",40
"Persons Place of Usual Residence","2779, NSW","Other Mode",14
"Persons Place of Usual Residence","2779, NSW","Worked at home or Did not go to work",421
"Persons Place of Usual Residence","2779, NSW","Mode not stated",12
"Persons Place of Usual Residence","2779, NSW","Not applicable",2632
"Persons Place of Usual Residence","2779, NSW","Total",4976
"Persons Place of Usual Residence","2780, NSW","Public Transport",633
"Persons Place of Usual Residence","2780, NSW","Vehicle",3161
"Persons Place of Usual Residence","2780, NSW","Active Transport",430
"Persons Place of Usual Residence","2780, NSW","Other Mode",54
"Persons Place of Usual Residence","2780, NSW","Worked at home or Did not go to work",1220
"Persons Place of Usual Residence","2780, NSW","Mode not stated",58
"Persons Place of Usual Residence","2780, NSW","Not applicable",7668
"Persons Place of Usual Residence","2780, NSW","Total",13222
"Persons Place of Usual Residence","2782, NSW","Public Transport",256
"Persons Place of Usual Residence","2782, NSW","Vehicle",1614
"Persons Place of Usual Residence","2782, NSW","Active Transport",47
"Persons Place of Usual Residence","2782, NSW","Other Mode",8
"Persons Place of Usual Residence","2782, NSW","Worked at home or Did not go to work",561
"Persons Place of Usual Residence","2782, NSW","Mode not stated",20
"Persons Place of Usual Residence","2782, NSW","Not applicable",3569
"Persons Place of Usual Residence","2782, NSW","Total",6077
"Persons Place of Usual Residence","2783, NSW","Public Transport",168
"Persons Place of Usual Residence","2783, NSW","Vehicle",796
"Persons Place of Usual Residence","2783, NSW","Active Transport",33
"Persons Place of Usual Residence","2783, NSW","Other Mode",3
"Persons Place of Usual Residence","2783, NSW","Worked at home or Did not go to work",223
"Persons Place of Usual Residence","2783, NSW","Mode not stated",10
"Persons Place of Usual Residence","2783, NSW","Not applicable",1381
"Persons Place of Usual Residence","2783, NSW","Total",2612
"Persons Place of Usual Residence","2784, NSW","Public Transport",83
"Persons Place of Usual Residence","2784, NSW","Vehicle",375
"Persons Place of Usual Residence","2784, NSW","Active Transport",3
"Persons Place of Usual Residence","2784, NSW","Other Mode",0
"Persons Place of Usual Residence","2784, NSW","Worked at home or Did not go to work",103
"Persons Place of Usual Residence","2784, NSW","Mode not stated",4
"Persons Place of Usual Residence","2784, NSW","Not applicable",657
"Persons Place of Usual Residence","2784, NSW","Total",1232
"Persons Place of Usual Residence","2785, NSW","Public Transport",160
"Persons Place of Usual Residence","2785, NSW","Vehicle",1174
"Persons Place of Usual Residence","2785, NSW","Active Transport",85
"Persons Place of Usual Residence","2785, NSW","Other Mode",7
"Persons Place of Usual Residence","2785, NSW","Worked at home or Did not go to work",466
"Persons Place of Usual Residence","2785, NSW","Mode not stated",13
"Persons Place of Usual Residence","2785, NSW","Not applicable",2646
"Persons Place of Usual Residence","2785, NSW","Total",4545
"Persons Place of Usual Residence","2786, NSW","Public Transport",39
"Persons Place of Usual Residence","2786, NSW","Vehicle",302
"Persons Place of Usual Residence","2786, NSW","Active Transport",11
"Persons Place of Usual Residence","2786, NSW","Other Mode",7
"Persons Place of Usual Residence","2786, NSW","Worked at home or Did not go to work",117
"Persons Place of Usual Residence","2786, NSW","Mode not stated",3
"Persons Place of Usual Residence","2786, NSW","Not applicable",803
"Persons Place of Usual Residence","2786, NSW","Total",1290
"Persons Place of Usual Residence","2787, NSW","Public Transport",10
"Persons Place of Usual Residence","2787, NSW","Vehicle",1376
"Persons Place of Usual Residence","2787, NSW","Active Transport",82
"Persons Place of Usual Residence","2787, NSW","Other Mode",11
"Persons Place of Usual Residence","2787, NSW","Worked at home or Did not go to work",320
"Persons Place of Usual Residence","2787, NSW","Mode not stated",37
"Persons Place of Usual Residence","2787, NSW","Not applicable",2611
"Persons Place of Usual Residence","2787, NSW","Total",4450
"Persons Place of Usual Residence","2790, NSW","Public Transport",118
"Persons Place of Usual Residence","2790, NSW","Vehicle",4363
"Persons Place of Usual Residence","2790, NSW","Active Transport",337
"Persons Place of Usual Residence","2790, NSW","Other Mode",26
"Persons Place of Usual Residence","2790, NSW","Worked at home or Did not go to work",960
"Persons Place of Usual Residence","2790, NSW","Mode not stated",77
"Persons Place of Usual Residence","2790, NSW","Not applicable",9892
"Persons Place of Usual Residence","2790, NSW","Total",15763
"Persons Place of Usual Residence","2791, NSW","Public Transport",0
"Persons Place of Usual Residence","2791, NSW","Vehicle",95
"Persons Place of Usual Residence","2791, NSW","Active Transport",8
"Persons Place of Usual Residence","2791, NSW","Other Mode",5
"Persons Place of Usual Residence","2791, NSW","Worked at home or Did not go to work",33
"Persons Place of Usual Residence","2791, NSW","Mode not stated",0
"Persons Place of Usual Residence","2791, NSW","Not applicable",198
"Persons Place of Usual Residence","2791, NSW","Total",344
"Persons Place of Usual Residence","2792, NSW","Public Transport",0
"Persons Place of Usual Residence","2792, NSW","Vehicle",100
"Persons Place of Usual Residence","2792, NSW","Active Transport",9
"Persons Place of Usual Residence","2792, NSW","Other Mode",3
"Persons Place of Usual Residence","2792, NSW","Worked at home or Did not go to work",42
"Persons Place of Usual Residence","2792, NSW","Mode not stated",4
"Persons Place of Usual Residence","2792, NSW","Not applicable",224
"Persons Place of Usual Residence","2792, NSW","Total",389
"Persons Place of Usual Residence","2793, NSW","Public Transport",0
"Persons Place of Usual Residence","2793, NSW","Vehicle",232
"Persons Place of Usual Residence","2793, NSW","Active Transport",19
"Persons Place of Usual Residence","2793, NSW","Other Mode",6
"Persons Place of Usual Residence","2793, NSW","Worked at home or Did not go to work",85
"Persons Place of Usual Residence","2793, NSW","Mode not stated",8
"Persons Place of Usual Residence","2793, NSW","Not applicable",619
"Persons Place of Usual Residence","2793, NSW","Total",975
"Persons Place of Usual Residence","2794, NSW","Public Transport",18
"Persons Place of Usual Residence","2794, NSW","Vehicle",3018
"Persons Place of Usual Residence","2794, NSW","Active Transport",203
"Persons Place of Usual Residence","2794, NSW","Other Mode",21
"Persons Place of Usual Residence","2794, NSW","Worked at home or Did not go to work",673
"Persons Place of Usual Residence","2794, NSW","Mode not stated",55
"Persons Place of Usual Residence","2794, NSW","Not applicable",6440
"Persons Place of Usual Residence","2794, NSW","Total",10426
"Persons Place of Usual Residence","2795, NSW","Public Transport",180
"Persons Place of Usual Residence","2795, NSW","Vehicle",14580
"Persons Place of Usual Residence","2795, NSW","Active Transport",778
"Persons Place of Usual Residence","2795, NSW","Other Mode",84
"Persons Place of Usual Residence","2795, NSW","Worked at home or Did not go to work",2934
"Persons Place of Usual Residence","2795, NSW","Mode not stated",209
"Persons Place of Usual Residence","2795, NSW","Not applicable",23784
"Persons Place of Usual Residence","2795, NSW","Total",42552
"Persons Place of Usual Residence","2797, NSW","Public Transport",0
"Persons Place of Usual Residence","2797, NSW","Vehicle",132
"Persons Place of Usual Residence","2797, NSW","Active Transport",7
"Persons Place of Usual Residence","2797, NSW","Other Mode",0
"Persons Place of Usual Residence","2797, NSW","Worked at home or Did not go to work",50
"Persons Place of Usual Residence","2797, NSW","Mode not stated",0
"Persons Place of Usual Residence","2797, NSW","Not applicable",232
"Persons Place of Usual Residence","2797, NSW","Total",422
"Persons Place of Usual Residence","2798, NSW","Public Transport",8
"Persons Place of Usual Residence","2798, NSW","Vehicle",689
"Persons Place of Usual Residence","2798, NSW","Active Transport",50
"Persons Place of Usual Residence","2798, NSW","Other Mode",5
"Persons Place of Usual Residence","2798, NSW","Worked at home or Did not go to work",229
"Persons Place of Usual Residence","2798, NSW","Mode not stated",5
"Persons Place of Usual Residence","2798, NSW","Not applicable",1111
"Persons Place of Usual Residence","2798, NSW","Total",2103
"Persons Place of Usual Residence","2799, NSW","Public Transport",18
"Persons Place of Usual Residence","2799, NSW","Vehicle",1396
"Persons Place of Usual Residence","2799, NSW","Active Transport",67
"Persons Place of Usual Residence","2799, NSW","Other Mode",9
"Persons Place of Usual Residence","2799, NSW","Worked at home or Did not go to work",267
"Persons Place of Usual Residence","2799, NSW","Mode not stated",29
"Persons Place of Usual Residence","2799, NSW","Not applicable",2333
"Persons Place of Usual Residence","2799, NSW","Total",4119
"Persons Place of Usual Residence","2800, NSW","Public Transport",199
"Persons Place of Usual Residence","2800, NSW","Vehicle",16026
"Persons Place of Usual Residence","2800, NSW","Active Transport",736
"Persons Place of Usual Residence","2800, NSW","Other Mode",84
"Persons Place of Usual Residence","2800, NSW","Worked at home or Did not go to work",2931
"Persons Place of Usual Residence","2800, NSW","Mode not stated",198
"Persons Place of Usual Residence","2800, NSW","Not applicable",24813
"Persons Place of Usual Residence","2800, NSW","Total",44994
"Persons Place of Usual Residence","2803, NSW","Public Transport",0
"Persons Place of Usual Residence","2803, NSW","Vehicle",70
"Persons Place of Usual Residence","2803, NSW","Active Transport",7
"Persons Place of Usual Residence","2803, NSW","Other Mode",0
"Persons Place of Usual Residence","2803, NSW","Worked at home or Did not go to work",37
"Persons Place of Usual Residence","2803, NSW","Mode not stated",5
"Persons Place of Usual Residence","2803, NSW","Not applicable",159
"Persons Place of Usual Residence","2803, NSW","Total",277
"Persons Place of Usual Residence","2804, NSW","Public Transport",6
"Persons Place of Usual Residence","2804, NSW","Vehicle",740
"Persons Place of Usual Residence","2804, NSW","Active Transport",55
"Persons Place of Usual Residence","2804, NSW","Other Mode",11
"Persons Place of Usual Residence","2804, NSW","Worked at home or Did not go to work",253
"Persons Place of Usual Residence","2804, NSW","Mode not stated",24
"Persons Place of Usual Residence","2804, NSW","Not applicable",1581
"Persons Place of Usual Residence","2804, NSW","Total",2667
"Persons Place of Usual Residence","2805, NSW","Public Transport",0
"Persons Place of Usual Residence","2805, NSW","Vehicle",114
"Persons Place of Usual Residence","2805, NSW","Active Transport",3
"Persons Place of Usual Residence","2805, NSW","Other Mode",0
"Persons Place of Usual Residence","2805, NSW","Worked at home or Did not go to work",36
"Persons Place of Usual Residence","2805, NSW","Mode not stated",0
"Persons Place of Usual Residence","2805, NSW","Not applicable",243
"Persons Place of Usual Residence","2805, NSW","Total",397
"Persons Place of Usual Residence","2806, NSW","Public Transport",0
"Persons Place of Usual Residence","2806, NSW","Vehicle",232
"Persons Place of Usual Residence","2806, NSW","Active Transport",15
"Persons Place of Usual Residence","2806, NSW","Other Mode",6
"Persons Place of Usual Residence","2806, NSW","Worked at home or Did not go to work",68
"Persons Place of Usual Residence","2806, NSW","Mode not stated",10
"Persons Place of Usual Residence","2806, NSW","Not applicable",444
"Persons Place of Usual Residence","2806, NSW","Total",781
"Persons Place of Usual Residence","2807, NSW","Public Transport",0
"Persons Place of Usual Residence","2807, NSW","Vehicle",81
"Persons Place of Usual Residence","2807, NSW","Active Transport",6
"Persons Place of Usual Residence","2807, NSW","Other Mode",0
"Persons Place of Usual Residence","2807, NSW","Worked at home or Did not go to work",44
"Persons Place of Usual Residence","2807, NSW","Mode not stated",0
"Persons Place of Usual Residence","2807, NSW","Not applicable",287
"Persons Place of Usual Residence","2807, NSW","Total",429
"Persons Place of Usual Residence","2808, NSW","Public Transport",0
"Persons Place of Usual Residence","2808, NSW","Vehicle",44
"Persons Place of Usual Residence","2808, NSW","Active Transport",4
"Persons Place of Usual Residence","2808, NSW","Other Mode",0
"Persons Place of Usual Residence","2808, NSW","Worked at home or Did not go to work",12
"Persons Place of Usual Residence","2808, NSW","Mode not stated",0
"Persons Place of Usual Residence","2808, NSW","Not applicable",122
"Persons Place of Usual Residence","2808, NSW","Total",177
"Persons Place of Usual Residence","2809, NSW","Public Transport",0
"Persons Place of Usual Residence","2809, NSW","Vehicle",36
"Persons Place of Usual Residence","2809, NSW","Active Transport",12
"Persons Place of Usual Residence","2809, NSW","Other Mode",0
"Persons Place of Usual Residence","2809, NSW","Worked at home or Did not go to work",29
"Persons Place of Usual Residence","2809, NSW","Mode not stated",6
"Persons Place of Usual Residence","2809, NSW","Not applicable",158
"Persons Place of Usual Residence","2809, NSW","Total",239
"Persons Place of Usual Residence","2810, NSW","Public Transport",6
"Persons Place of Usual Residence","2810, NSW","Vehicle",790
"Persons Place of Usual Residence","2810, NSW","Active Transport",94
"Persons Place of Usual Residence","2810, NSW","Other Mode",11
"Persons Place of Usual Residence","2810, NSW","Worked at home or Did not go to work",333
"Persons Place of Usual Residence","2810, NSW","Mode not stated",24
"Persons Place of Usual Residence","2810, NSW","Not applicable",1893
"Persons Place of Usual Residence","2810, NSW","Total",3152
"Persons Place of Usual Residence","2817, NSW","Public Transport",0
"Persons Place of Usual Residence","2817, NSW","Vehicle",75
"Persons Place of Usual Residence","2817, NSW","Active Transport",10
"Persons Place of Usual Residence","2817, NSW","Other Mode",3
"Persons Place of Usual Residence","2817, NSW","Worked at home or Did not go to work",71
"Persons Place of Usual Residence","2817, NSW","Mode not stated",7
"Persons Place of Usual Residence","2817, NSW","Not applicable",124
"Persons Place of Usual Residence","2817, NSW","Total",291
"Persons Place of Usual Residence","2818, NSW","Public Transport",5
"Persons Place of Usual Residence","2818, NSW","Vehicle",316
"Persons Place of Usual Residence","2818, NSW","Active Transport",6
"Persons Place of Usual Residence","2818, NSW","Other Mode",9
"Persons Place of Usual Residence","2818, NSW","Worked at home or Did not go to work",72
"Persons Place of Usual Residence","2818, NSW","Mode not stated",4
"Persons Place of Usual Residence","2818, NSW","Not applicable",449
"Persons Place of Usual Residence","2818, NSW","Total",864
"Persons Place of Usual Residence","2820, NSW","Public Transport",17
"Persons Place of Usual Residence","2820, NSW","Vehicle",1616
"Persons Place of Usual Residence","2820, NSW","Active Transport",151
"Persons Place of Usual Residence","2820, NSW","Other Mode",22
"Persons Place of Usual Residence","2820, NSW","Worked at home or Did not go to work",395
"Persons Place of Usual Residence","2820, NSW","Mode not stated",46
"Persons Place of Usual Residence","2820, NSW","Not applicable",5078
"Persons Place of Usual Residence","2820, NSW","Total",7320
"Persons Place of Usual Residence","2821, NSW","Public Transport",11
"Persons Place of Usual Residence","2821, NSW","Vehicle",1404
"Persons Place of Usual Residence","2821, NSW","Active Transport",107
"Persons Place of Usual Residence","2821, NSW","Other Mode",23
"Persons Place of Usual Residence","2821, NSW","Worked at home or Did not go to work",343
"Persons Place of Usual Residence","2821, NSW","Mode not stated",33
"Persons Place of Usual Residence","2821, NSW","Not applicable",2892
"Persons Place of Usual Residence","2821, NSW","Total",4810
"Persons Place of Usual Residence","2822, NSW","Public Transport",3
"Persons Place of Usual Residence","2822, NSW","Vehicle",141
"Persons Place of Usual Residence","2822, NSW","Active Transport",6
"Persons Place of Usual Residence","2822, NSW","Other Mode",0
"Persons Place of Usual Residence","2822, NSW","Worked at home or Did not go to work",45
"Persons Place of Usual Residence","2822, NSW","Mode not stated",0
"Persons Place of Usual Residence","2822, NSW","Not applicable",216
"Persons Place of Usual Residence","2822, NSW","Total",412
"Persons Place of Usual Residence","2823, NSW","Public Transport",3
"Persons Place of Usual Residence","2823, NSW","Vehicle",368
"Persons Place of Usual Residence","2823, NSW","Active Transport",54
"Persons Place of Usual Residence","2823, NSW","Other Mode",9
"Persons Place of Usual Residence","2823, NSW","Worked at home or Did not go to work",129
