Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MTW06P Method of Travel to Work (6 travel modes)","Count",
"Persons Place of Usual Residence","2065, NSW","Active Transport",2127
"Persons Place of Usual Residence","2065, NSW","Other Mode",106
"Persons Place of Usual Residence","2065, NSW","Worked at home or Did not go to work",2237
"Persons Place of Usual Residence","2065, NSW","Mode not stated",98
"Persons Place of Usual Residence","2065, NSW","Not applicable",12161
"Persons Place of Usual Residence","2065, NSW","Total",30116
"Persons Place of Usual Residence","2066, NSW","Public Transport",5086
"Persons Place of Usual Residence","2066, NSW","Vehicle",8509
"Persons Place of Usual Residence","2066, NSW","Active Transport",825
"Persons Place of Usual Residence","2066, NSW","Other Mode",75
"Persons Place of Usual Residence","2066, NSW","Worked at home or Did not go to work",2179
"Persons Place of Usual Residence","2066, NSW","Mode not stated",85
"Persons Place of Usual Residence","2066, NSW","Not applicable",14867
"Persons Place of Usual Residence","2066, NSW","Total",31625
"Persons Place of Usual Residence","2067, NSW","Public Transport",4892
"Persons Place of Usual Residence","2067, NSW","Vehicle",4163
"Persons Place of Usual Residence","2067, NSW","Active Transport",1679
"Persons Place of Usual Residence","2067, NSW","Other Mode",64
"Persons Place of Usual Residence","2067, NSW","Worked at home or Did not go to work",1462
"Persons Place of Usual Residence","2067, NSW","Mode not stated",91
"Persons Place of Usual Residence","2067, NSW","Not applicable",14049
"Persons Place of Usual Residence","2067, NSW","Total",26404
"Persons Place of Usual Residence","2068, NSW","Public Transport",2285
"Persons Place of Usual Residence","2068, NSW","Vehicle",4009
"Persons Place of Usual Residence","2068, NSW","Active Transport",390
"Persons Place of Usual Residence","2068, NSW","Other Mode",47
"Persons Place of Usual Residence","2068, NSW","Worked at home or Did not go to work",1246
"Persons Place of Usual Residence","2068, NSW","Mode not stated",54
"Persons Place of Usual Residence","2068, NSW","Not applicable",8777
"Persons Place of Usual Residence","2068, NSW","Total",16811
"Persons Place of Usual Residence","2069, NSW","Public Transport",2003
"Persons Place of Usual Residence","2069, NSW","Vehicle",3336
"Persons Place of Usual Residence","2069, NSW","Active Transport",245
"Persons Place of Usual Residence","2069, NSW","Other Mode",41
"Persons Place of Usual Residence","2069, NSW","Worked at home or Did not go to work",1078
"Persons Place of Usual Residence","2069, NSW","Mode not stated",37
"Persons Place of Usual Residence","2069, NSW","Not applicable",7511
"Persons Place of Usual Residence","2069, NSW","Total",14251
"Persons Place of Usual Residence","2070, NSW","Public Transport",1988
"Persons Place of Usual Residence","2070, NSW","Vehicle",2953
"Persons Place of Usual Residence","2070, NSW","Active Transport",209
"Persons Place of Usual Residence","2070, NSW","Other Mode",29
"Persons Place of Usual Residence","2070, NSW","Worked at home or Did not go to work",1048
"Persons Place of Usual Residence","2070, NSW","Mode not stated",25
"Persons Place of Usual Residence","2070, NSW","Not applicable",7247
"Persons Place of Usual Residence","2070, NSW","Total",13504
"Persons Place of Usual Residence","2071, NSW","Public Transport",1925
"Persons Place of Usual Residence","2071, NSW","Vehicle",3021
"Persons Place of Usual Residence","2071, NSW","Active Transport",144
"Persons Place of Usual Residence","2071, NSW","Other Mode",35
