Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2669, NSW","35-39 hours",66
"Persons Place of Usual Residence","2669, NSW","40 hours",114
"Persons Place of Usual Residence","2669, NSW","41-48 hours",48
"Persons Place of Usual Residence","2669, NSW","49 hours and over",280
"Persons Place of Usual Residence","2669, NSW","Not stated",35
"Persons Place of Usual Residence","2669, NSW","Not applicable",889
"Persons Place of Usual Residence","2671, NSW","None",67
"Persons Place of Usual Residence","2671, NSW","1-15 hours",206
"Persons Place of Usual Residence","2671, NSW","16-24 hours",170
"Persons Place of Usual Residence","2671, NSW","25-34 hours",185
"Persons Place of Usual Residence","2671, NSW","35-39 hours",263
"Persons Place of Usual Residence","2671, NSW","40 hours",268
"Persons Place of Usual Residence","2671, NSW","41-48 hours",158
"Persons Place of Usual Residence","2671, NSW","49 hours and over",406
"Persons Place of Usual Residence","2671, NSW","Not stated",50
"Persons Place of Usual Residence","2671, NSW","Not applicable",2341
"Persons Place of Usual Residence","2672, NSW","None",18
"Persons Place of Usual Residence","2672, NSW","1-15 hours",65
"Persons Place of Usual Residence","2672, NSW","16-24 hours",60
"Persons Place of Usual Residence","2672, NSW","25-34 hours",63
"Persons Place of Usual Residence","2672, NSW","35-39 hours",45
"Persons Place of Usual Residence","2672, NSW","40 hours",110
"Persons Place of Usual Residence","2672, NSW","41-48 hours",56
"Persons Place of Usual Residence","2672, NSW","49 hours and over",108
"Persons Place of Usual Residence","2672, NSW","Not stated",24
"Persons Place of Usual Residence","2672, NSW","Not applicable",1029
"Persons Place of Usual Residence","2675, NSW","None",35
"Persons Place of Usual Residence","2675, NSW","1-15 hours",67
"Persons Place of Usual Residence","2675, NSW","16-24 hours",69
"Persons Place of Usual Residence","2675, NSW","25-34 hours",103
"Persons Place of Usual Residence","2675, NSW","35-39 hours",91
"Persons Place of Usual Residence","2675, NSW","40 hours",111
"Persons Place of Usual Residence","2675, NSW","41-48 hours",53
"Persons Place of Usual Residence","2675, NSW","49 hours and over",208
"Persons Place of Usual Residence","2675, NSW","Not stated",34
"Persons Place of Usual Residence","2675, NSW","Not applicable",798
"Persons Place of Usual Residence","2678, NSW","None",9
"Persons Place of Usual Residence","2678, NSW","1-15 hours",62
"Persons Place of Usual Residence","2678, NSW","16-24 hours",18
"Persons Place of Usual Residence","2678, NSW","25-34 hours",0
"Persons Place of Usual Residence","2678, NSW","35-39 hours",0
"Persons Place of Usual Residence","2678, NSW","40 hours",0
"Persons Place of Usual Residence","2678, NSW","41-48 hours",4
"Persons Place of Usual Residence","2678, NSW","49 hours and over",0
"Persons Place of Usual Residence","2678, NSW","Not stated",30
"Persons Place of Usual Residence","2678, NSW","Not applicable",210
"Persons Place of Usual Residence","2680, NSW","None",351
"Persons Place of Usual Residence","2680, NSW","1-15 hours",1080
"Persons Place of Usual Residence","2680, NSW","16-24 hours",1030
"Persons Place of Usual Residence","2680, NSW","25-34 hours",1143
"Persons Place of Usual Residence","2680, NSW","35-39 hours",2461
"Persons Place of Usual Residence","2680, NSW","40 hours",2007
"Persons Place of Usual Residence","2680, NSW","41-48 hours",1036
"Persons Place of Usual Residence","2680, NSW","49 hours and over",1565
"Persons Place of Usual Residence","2680, NSW","Not stated",232
"Persons Place of Usual Residence","2680, NSW","Not applicable",13037
"Persons Place of Usual Residence","2681, NSW","None",36
"Persons Place of Usual Residence","2681, NSW","1-15 hours",100
"Persons Place of Usual Residence","2681, NSW","16-24 hours",60
"Persons Place of Usual Residence","2681, NSW","25-34 hours",91
"Persons Place of Usual Residence","2681, NSW","35-39 hours",171
"Persons Place of Usual Residence","2681, NSW","40 hours",153
"Persons Place of Usual Residence","2681, NSW","41-48 hours",80
"Persons Place of Usual Residence","2681, NSW","49 hours and over",128
"Persons Place of Usual Residence","2681, NSW","Not stated",21
"Persons Place of Usual Residence","2681, NSW","Not applicable",900
"Persons Place of Usual Residence","2700, NSW","None",94
"Persons Place of Usual Residence","2700, NSW","1-15 hours",191
"Persons Place of Usual Residence","2700, NSW","16-24 hours",190
"Persons Place of Usual Residence","2700, NSW","25-34 hours",203
"Persons Place of Usual Residence","2700, NSW","35-39 hours",331
"Persons Place of Usual Residence","2700, NSW","40 hours",359
"Persons Place of Usual Residence","2700, NSW","41-48 hours",195
"Persons Place of Usual Residence","2700, NSW","49 hours and over",317
"Persons Place of Usual Residence","2700, NSW","Not stated",56
"Persons Place of Usual Residence","2700, NSW","Not applicable",2999
"Persons Place of Usual Residence","2701, NSW","None",49
"Persons Place of Usual Residence","2701, NSW","1-15 hours",108
"Persons Place of Usual Residence","2701, NSW","16-24 hours",78
"Persons Place of Usual Residence","2701, NSW","25-34 hours",114
"Persons Place of Usual Residence","2701, NSW","35-39 hours",179
"Persons Place of Usual Residence","2701, NSW","40 hours",187
"Persons Place of Usual Residence","2701, NSW","41-48 hours",79
"Persons Place of Usual Residence","2701, NSW","49 hours and over",189
"Persons Place of Usual Residence","2701, NSW","Not stated",27
"Persons Place of Usual Residence","2701, NSW","Not applicable",1398
"Persons Place of Usual Residence","2702, NSW","None",9
"Persons Place of Usual Residence","2702, NSW","1-15 hours",23
"Persons Place of Usual Residence","2702, NSW","16-24 hours",32
"Persons Place of Usual Residence","2702, NSW","25-34 hours",24
"Persons Place of Usual Residence","2702, NSW","35-39 hours",45
"Persons Place of Usual Residence","2702, NSW","40 hours",41
"Persons Place of Usual Residence","2702, NSW","41-48 hours",24
"Persons Place of Usual Residence","2702, NSW","49 hours and over",54
"Persons Place of Usual Residence","2702, NSW","Not stated",14
"Persons Place of Usual Residence","2702, NSW","Not applicable",516
"Persons Place of Usual Residence","2703, NSW","None",19
"Persons Place of Usual Residence","2703, NSW","1-15 hours",26
"Persons Place of Usual Residence","2703, NSW","16-24 hours",20
"Persons Place of Usual Residence","2703, NSW","25-34 hours",35
"Persons Place of Usual Residence","2703, NSW","35-39 hours",31
"Persons Place of Usual Residence","2703, NSW","40 hours",56
"Persons Place of Usual Residence","2703, NSW","41-48 hours",30
"Persons Place of Usual Residence","2703, NSW","49 hours and over",55
"Persons Place of Usual Residence","2703, NSW","Not stated",15
"Persons Place of Usual Residence","2703, NSW","Not applicable",701
"Persons Place of Usual Residence","2705, NSW","None",160
"Persons Place of Usual Residence","2705, NSW","1-15 hours",450
"Persons Place of Usual Residence","2705, NSW","16-24 hours",331
"Persons Place of Usual Residence","2705, NSW","25-34 hours",437
"Persons Place of Usual Residence","2705, NSW","35-39 hours",862
"Persons Place of Usual Residence","2705, NSW","40 hours",924
"Persons Place of Usual Residence","2705, NSW","41-48 hours",431
"Persons Place of Usual Residence","2705, NSW","49 hours and over",714
"Persons Place of Usual Residence","2705, NSW","Not stated",106
"Persons Place of Usual Residence","2705, NSW","Not applicable",5744
"Persons Place of Usual Residence","2706, NSW","None",29
"Persons Place of Usual Residence","2706, NSW","1-15 hours",48
"Persons Place of Usual Residence","2706, NSW","16-24 hours",32
"Persons Place of Usual Residence","2706, NSW","25-34 hours",53
"Persons Place of Usual Residence","2706, NSW","35-39 hours",117
"Persons Place of Usual Residence","2706, NSW","40 hours",71
"Persons Place of Usual Residence","2706, NSW","41-48 hours",46
"Persons Place of Usual Residence","2706, NSW","49 hours and over",77
"Persons Place of Usual Residence","2706, NSW","Not stated",16
"Persons Place of Usual Residence","2706, NSW","Not applicable",675
"Persons Place of Usual Residence","2707, NSW","None",25
"Persons Place of Usual Residence","2707, NSW","1-15 hours",60
"Persons Place of Usual Residence","2707, NSW","16-24 hours",66
"Persons Place of Usual Residence","2707, NSW","25-34 hours",70
"Persons Place of Usual Residence","2707, NSW","35-39 hours",72
"Persons Place of Usual Residence","2707, NSW","40 hours",104
"Persons Place of Usual Residence","2707, NSW","41-48 hours",52
"Persons Place of Usual Residence","2707, NSW","49 hours and over",189
"Persons Place of Usual Residence","2707, NSW","Not stated",19
"Persons Place of Usual Residence","2707, NSW","Not applicable",682
"Persons Place of Usual Residence","2710, NSW","None",197
"Persons Place of Usual Residence","2710, NSW","1-15 hours",497
"Persons Place of Usual Residence","2710, NSW","16-24 hours",397
"Persons Place of Usual Residence","2710, NSW","25-34 hours",536
"Persons Place of Usual Residence","2710, NSW","35-39 hours",768
"Persons Place of Usual Residence","2710, NSW","40 hours",724
"Persons Place of Usual Residence","2710, NSW","41-48 hours",353
"Persons Place of Usual Residence","2710, NSW","49 hours and over",761
"Persons Place of Usual Residence","2710, NSW","Not stated",87
"Persons Place of Usual Residence","2710, NSW","Not applicable",5807
"Persons Place of Usual Residence","2711, NSW","None",63
"Persons Place of Usual Residence","2711, NSW","1-15 hours",161
"Persons Place of Usual Residence","2711, NSW","16-24 hours",125
"Persons Place of Usual Residence","2711, NSW","25-34 hours",164
"Persons Place of Usual Residence","2711, NSW","35-39 hours",219
"Persons Place of Usual Residence","2711, NSW","40 hours",224
"Persons Place of Usual Residence","2711, NSW","41-48 hours",103
"Persons Place of Usual Residence","2711, NSW","49 hours and over",405
"Persons Place of Usual Residence","2711, NSW","Not stated",49
"Persons Place of Usual Residence","2711, NSW","Not applicable",1843
"Persons Place of Usual Residence","2712, NSW","None",25
"Persons Place of Usual Residence","2712, NSW","1-15 hours",63
"Persons Place of Usual Residence","2712, NSW","16-24 hours",50
"Persons Place of Usual Residence","2712, NSW","25-34 hours",54
"Persons Place of Usual Residence","2712, NSW","35-39 hours",70
"Persons Place of Usual Residence","2712, NSW","40 hours",91
"Persons Place of Usual Residence","2712, NSW","41-48 hours",50
"Persons Place of Usual Residence","2712, NSW","49 hours and over",123
"Persons Place of Usual Residence","2712, NSW","Not stated",14
"Persons Place of Usual Residence","2712, NSW","Not applicable",823
"Persons Place of Usual Residence","2713, NSW","None",67
"Persons Place of Usual Residence","2713, NSW","1-15 hours",132
"Persons Place of Usual Residence","2713, NSW","16-24 hours",106
"Persons Place of Usual Residence","2713, NSW","25-34 hours",133
"Persons Place of Usual Residence","2713, NSW","35-39 hours",148
"Persons Place of Usual Residence","2713, NSW","40 hours",177
"Persons Place of Usual Residence","2713, NSW","41-48 hours",91
"Persons Place of Usual Residence","2713, NSW","49 hours and over",276
"Persons Place of Usual Residence","2713, NSW","Not stated",30
"Persons Place of Usual Residence","2713, NSW","Not applicable",1636
"Persons Place of Usual Residence","2714, NSW","None",36
"Persons Place of Usual Residence","2714, NSW","1-15 hours",146
"Persons Place of Usual Residence","2714, NSW","16-24 hours",102
"Persons Place of Usual Residence","2714, NSW","25-34 hours",124
"Persons Place of Usual Residence","2714, NSW","35-39 hours",121
"Persons Place of Usual Residence","2714, NSW","40 hours",112
"Persons Place of Usual Residence","2714, NSW","41-48 hours",82
"Persons Place of Usual Residence","2714, NSW","49 hours and over",222
"Persons Place of Usual Residence","2714, NSW","Not stated",24
"Persons Place of Usual Residence","2714, NSW","Not applicable",1795
"Persons Place of Usual Residence","2715, NSW","None",17
"Persons Place of Usual Residence","2715, NSW","1-15 hours",67
"Persons Place of Usual Residence","2715, NSW","16-24 hours",59
"Persons Place of Usual Residence","2715, NSW","25-34 hours",87
"Persons Place of Usual Residence","2715, NSW","35-39 hours",109
"Persons Place of Usual Residence","2715, NSW","40 hours",102
"Persons Place of Usual Residence","2715, NSW","41-48 hours",34
"Persons Place of Usual Residence","2715, NSW","49 hours and over",139
"Persons Place of Usual Residence","2715, NSW","Not stated",22
"Persons Place of Usual Residence","2715, NSW","Not applicable",836
"Persons Place of Usual Residence","2716, NSW","None",21
"Persons Place of Usual Residence","2716, NSW","1-15 hours",48
"Persons Place of Usual Residence","2716, NSW","16-24 hours",40
"Persons Place of Usual Residence","2716, NSW","25-34 hours",47
"Persons Place of Usual Residence","2716, NSW","35-39 hours",77
"Persons Place of Usual Residence","2716, NSW","40 hours",97
"Persons Place of Usual Residence","2716, NSW","41-48 hours",26
"Persons Place of Usual Residence","2716, NSW","49 hours and over",104
"Persons Place of Usual Residence","2716, NSW","Not stated",13
"Persons Place of Usual Residence","2716, NSW","Not applicable",632
"Persons Place of Usual Residence","2717, NSW","None",20
"Persons Place of Usual Residence","2717, NSW","1-15 hours",60
"Persons Place of Usual Residence","2717, NSW","16-24 hours",33
"Persons Place of Usual Residence","2717, NSW","25-34 hours",52
"Persons Place of Usual Residence","2717, NSW","35-39 hours",91
"Persons Place of Usual Residence","2717, NSW","40 hours",61
"Persons Place of Usual Residence","2717, NSW","41-48 hours",25
"Persons Place of Usual Residence","2717, NSW","49 hours and over",60
"Persons Place of Usual Residence","2717, NSW","Not stated",12
"Persons Place of Usual Residence","2717, NSW","Not applicable",912
"Persons Place of Usual Residence","2720, NSW","None",126
"Persons Place of Usual Residence","2720, NSW","1-15 hours",371
"Persons Place of Usual Residence","2720, NSW","16-24 hours",333
"Persons Place of Usual Residence","2720, NSW","25-34 hours",358
"Persons Place of Usual Residence","2720, NSW","35-39 hours",565
"Persons Place of Usual Residence","2720, NSW","40 hours",460
"Persons Place of Usual Residence","2720, NSW","41-48 hours",336
"Persons Place of Usual Residence","2720, NSW","49 hours and over",666
"Persons Place of Usual Residence","2720, NSW","Not stated",84
"Persons Place of Usual Residence","2720, NSW","Not applicable",4724
"Persons Place of Usual Residence","2721, NSW","None",3
"Persons Place of Usual Residence","2721, NSW","1-15 hours",7
"Persons Place of Usual Residence","2721, NSW","16-24 hours",3
"Persons Place of Usual Residence","2721, NSW","25-34 hours",10
"Persons Place of Usual Residence","2721, NSW","35-39 hours",7
"Persons Place of Usual Residence","2721, NSW","40 hours",12
"Persons Place of Usual Residence","2721, NSW","41-48 hours",3
"Persons Place of Usual Residence","2721, NSW","49 hours and over",41
"Persons Place of Usual Residence","2721, NSW","Not stated",0
"Persons Place of Usual Residence","2721, NSW","Not applicable",138
"Persons Place of Usual Residence","2722, NSW","None",41
"Persons Place of Usual Residence","2722, NSW","1-15 hours",159
"Persons Place of Usual Residence","2722, NSW","16-24 hours",149
"Persons Place of Usual Residence","2722, NSW","25-34 hours",176
"Persons Place of Usual Residence","2722, NSW","35-39 hours",232
"Persons Place of Usual Residence","2722, NSW","40 hours",209
"Persons Place of Usual Residence","2722, NSW","41-48 hours",118
"Persons Place of Usual Residence","2722, NSW","49 hours and over",241
"Persons Place of Usual Residence","2722, NSW","Not stated",50
"Persons Place of Usual Residence","2722, NSW","Not applicable",1826
"Persons Place of Usual Residence","2725, NSW","None",10
"Persons Place of Usual Residence","2725, NSW","1-15 hours",17
"Persons Place of Usual Residence","2725, NSW","16-24 hours",18
"Persons Place of Usual Residence","2725, NSW","25-34 hours",11
"Persons Place of Usual Residence","2725, NSW","35-39 hours",21
"Persons Place of Usual Residence","2725, NSW","40 hours",20
"Persons Place of Usual Residence","2725, NSW","41-48 hours",3
"Persons Place of Usual Residence","2725, NSW","49 hours and over",26
"Persons Place of Usual Residence","2725, NSW","Not stated",0
"Persons Place of Usual Residence","2725, NSW","Not applicable",241
"Persons Place of Usual Residence","2726, NSW","None",8
"Persons Place of Usual Residence","2726, NSW","1-15 hours",9
"Persons Place of Usual Residence","2726, NSW","16-24 hours",7
"Persons Place of Usual Residence","2726, NSW","25-34 hours",13
"Persons Place of Usual Residence","2726, NSW","35-39 hours",14
"Persons Place of Usual Residence","2726, NSW","40 hours",19
"Persons Place of Usual Residence","2726, NSW","41-48 hours",16
"Persons Place of Usual Residence","2726, NSW","49 hours and over",27
"Persons Place of Usual Residence","2726, NSW","Not stated",5
"Persons Place of Usual Residence","2726, NSW","Not applicable",110
"Persons Place of Usual Residence","2727, NSW","None",9
"Persons Place of Usual Residence","2727, NSW","1-15 hours",14
"Persons Place of Usual Residence","2727, NSW","16-24 hours",18
"Persons Place of Usual Residence","2727, NSW","25-34 hours",18
"Persons Place of Usual Residence","2727, NSW","35-39 hours",14
"Persons Place of Usual Residence","2727, NSW","40 hours",26
"Persons Place of Usual Residence","2727, NSW","41-48 hours",14
"Persons Place of Usual Residence","2727, NSW","49 hours and over",58
"Persons Place of Usual Residence","2727, NSW","Not stated",3
"Persons Place of Usual Residence","2727, NSW","Not applicable",177
"Persons Place of Usual Residence","2729, NSW","None",40
"Persons Place of Usual Residence","2729, NSW","1-15 hours",82
"Persons Place of Usual Residence","2729, NSW","16-24 hours",69
"Persons Place of Usual Residence","2729, NSW","25-34 hours",73
"Persons Place of Usual Residence","2729, NSW","35-39 hours",93
"Persons Place of Usual Residence","2729, NSW","40 hours",118
"Persons Place of Usual Residence","2729, NSW","41-48 hours",58
"Persons Place of Usual Residence","2729, NSW","49 hours and over",184
"Persons Place of Usual Residence","2729, NSW","Not stated",19
"Persons Place of Usual Residence","2729, NSW","Not applicable",960
"Persons Place of Usual Residence","2730, NSW","None",32
"Persons Place of Usual Residence","2730, NSW","1-15 hours",52
"Persons Place of Usual Residence","2730, NSW","16-24 hours",46
"Persons Place of Usual Residence","2730, NSW","25-34 hours",83
"Persons Place of Usual Residence","2730, NSW","35-39 hours",130
"Persons Place of Usual Residence","2730, NSW","40 hours",73
"Persons Place of Usual Residence","2730, NSW","41-48 hours",47
"Persons Place of Usual Residence","2730, NSW","49 hours and over",98
"Persons Place of Usual Residence","2730, NSW","Not stated",26
"Persons Place of Usual Residence","2730, NSW","Not applicable",802
"Persons Place of Usual Residence","2731, NSW","None",114
"Persons Place of Usual Residence","2731, NSW","1-15 hours",324
"Persons Place of Usual Residence","2731, NSW","16-24 hours",265
"Persons Place of Usual Residence","2731, NSW","25-34 hours",289
"Persons Place of Usual Residence","2731, NSW","35-39 hours",467
"Persons Place of Usual Residence","2731, NSW","40 hours",452
"Persons Place of Usual Residence","2731, NSW","41-48 hours",242
"Persons Place of Usual Residence","2731, NSW","49 hours and over",505
"Persons Place of Usual Residence","2731, NSW","Not stated",56
"Persons Place of Usual Residence","2731, NSW","Not applicable",3686
"Persons Place of Usual Residence","2732, NSW","None",31
"Persons Place of Usual Residence","2732, NSW","1-15 hours",82
"Persons Place of Usual Residence","2732, NSW","16-24 hours",80
"Persons Place of Usual Residence","2732, NSW","25-34 hours",80
"Persons Place of Usual Residence","2732, NSW","35-39 hours",86
"Persons Place of Usual Residence","2732, NSW","40 hours",111
"Persons Place of Usual Residence","2732, NSW","41-48 hours",58
"Persons Place of Usual Residence","2732, NSW","49 hours and over",180
"Persons Place of Usual Residence","2732, NSW","Not stated",17
"Persons Place of Usual Residence","2732, NSW","Not applicable",1045
"Persons Place of Usual Residence","2733, NSW","None",6
"Persons Place of Usual Residence","2733, NSW","1-15 hours",30
"Persons Place of Usual Residence","2733, NSW","16-24 hours",31
"Persons Place of Usual Residence","2733, NSW","25-34 hours",21
"Persons Place of Usual Residence","2733, NSW","35-39 hours",29
"Persons Place of Usual Residence","2733, NSW","40 hours",37
"Persons Place of Usual Residence","2733, NSW","41-48 hours",20
"Persons Place of Usual Residence","2733, NSW","49 hours and over",63
"Persons Place of Usual Residence","2733, NSW","Not stated",11
"Persons Place of Usual Residence","2733, NSW","Not applicable",294
"Persons Place of Usual Residence","2734, NSW","None",7
"Persons Place of Usual Residence","2734, NSW","1-15 hours",21
"Persons Place of Usual Residence","2734, NSW","16-24 hours",22
"Persons Place of Usual Residence","2734, NSW","25-34 hours",17
"Persons Place of Usual Residence","2734, NSW","35-39 hours",26
"Persons Place of Usual Residence","2734, NSW","40 hours",40
"Persons Place of Usual Residence","2734, NSW","41-48 hours",17
"Persons Place of Usual Residence","2734, NSW","49 hours and over",61
"Persons Place of Usual Residence","2734, NSW","Not stated",8
"Persons Place of Usual Residence","2734, NSW","Not applicable",236
"Persons Place of Usual Residence","2735, NSW","None",3
"Persons Place of Usual Residence","2735, NSW","1-15 hours",21
"Persons Place of Usual Residence","2735, NSW","16-24 hours",18
"Persons Place of Usual Residence","2735, NSW","25-34 hours",25
"Persons Place of Usual Residence","2735, NSW","35-39 hours",28
"Persons Place of Usual Residence","2735, NSW","40 hours",28
"Persons Place of Usual Residence","2735, NSW","41-48 hours",19
"Persons Place of Usual Residence","2735, NSW","49 hours and over",37
"Persons Place of Usual Residence","2735, NSW","Not stated",9
"Persons Place of Usual Residence","2735, NSW","Not applicable",263
"Persons Place of Usual Residence","2736, NSW","None",9
"Persons Place of Usual Residence","2736, NSW","1-15 hours",19
"Persons Place of Usual Residence","2736, NSW","16-24 hours",6
"Persons Place of Usual Residence","2736, NSW","25-34 hours",15
"Persons Place of Usual Residence","2736, NSW","35-39 hours",14
"Persons Place of Usual Residence","2736, NSW","40 hours",28
"Persons Place of Usual Residence","2736, NSW","41-48 hours",7
"Persons Place of Usual Residence","2736, NSW","49 hours and over",57
"Persons Place of Usual Residence","2736, NSW","Not stated",4
"Persons Place of Usual Residence","2736, NSW","Not applicable",214
"Persons Place of Usual Residence","2737, NSW","None",12
"Persons Place of Usual Residence","2737, NSW","1-15 hours",23
"Persons Place of Usual Residence","2737, NSW","16-24 hours",43
"Persons Place of Usual Residence","2737, NSW","25-34 hours",37
"Persons Place of Usual Residence","2737, NSW","35-39 hours",56
"Persons Place of Usual Residence","2737, NSW","40 hours",76
"Persons Place of Usual Residence","2737, NSW","41-48 hours",19
"Persons Place of Usual Residence","2737, NSW","49 hours and over",79
"Persons Place of Usual Residence","2737, NSW","Not stated",9
"Persons Place of Usual Residence","2737, NSW","Not applicable",491
"Persons Place of Usual Residence","2738, NSW","None",25
"Persons Place of Usual Residence","2738, NSW","1-15 hours",86
"Persons Place of Usual Residence","2738, NSW","16-24 hours",76
"Persons Place of Usual Residence","2738, NSW","25-34 hours",85
"Persons Place of Usual Residence","2738, NSW","35-39 hours",118
"Persons Place of Usual Residence","2738, NSW","40 hours",150
"Persons Place of Usual Residence","2738, NSW","41-48 hours",77
"Persons Place of Usual Residence","2738, NSW","49 hours and over",167
"Persons Place of Usual Residence","2738, NSW","Not stated",19
"Persons Place of Usual Residence","2738, NSW","Not applicable",858
"Persons Place of Usual Residence","2739, NSW","None",27
"Persons Place of Usual Residence","2739, NSW","1-15 hours",72
"Persons Place of Usual Residence","2739, NSW","16-24 hours",58
"Persons Place of Usual Residence","2739, NSW","25-34 hours",77
"Persons Place of Usual Residence","2739, NSW","35-39 hours",110
"Persons Place of Usual Residence","2739, NSW","40 hours",97
"Persons Place of Usual Residence","2739, NSW","41-48 hours",61
"Persons Place of Usual Residence","2739, NSW","49 hours and over",94
"Persons Place of Usual Residence","2739, NSW","Not stated",10
"Persons Place of Usual Residence","2739, NSW","Not applicable",782
"Persons Place of Usual Residence","2745, NSW","None",481
"Persons Place of Usual Residence","2745, NSW","1-15 hours",1584
"Persons Place of Usual Residence","2745, NSW","16-24 hours",1374
"Persons Place of Usual Residence","2745, NSW","25-34 hours",1484
"Persons Place of Usual Residence","2745, NSW","35-39 hours",3117
"Persons Place of Usual Residence","2745, NSW","40 hours",3387
"Persons Place of Usual Residence","2745, NSW","41-48 hours",1599
"Persons Place of Usual Residence","2745, NSW","49 hours and over",2626
"Persons Place of Usual Residence","2745, NSW","Not stated",234
"Persons Place of Usual Residence","2745, NSW","Not applicable",13617
"Persons Place of Usual Residence","2747, NSW","None",651
"Persons Place of Usual Residence","2747, NSW","1-15 hours",1802
"Persons Place of Usual Residence","2747, NSW","16-24 hours",1664
"Persons Place of Usual Residence","2747, NSW","25-34 hours",1941
"Persons Place of Usual Residence","2747, NSW","35-39 hours",4834
"Persons Place of Usual Residence","2747, NSW","40 hours",4339
"Persons Place of Usual Residence","2747, NSW","41-48 hours",2033
"Persons Place of Usual Residence","2747, NSW","49 hours and over",2815
"Persons Place of Usual Residence","2747, NSW","Not stated",425
"Persons Place of Usual Residence","2747, NSW","Not applicable",21926
"Persons Place of Usual Residence","2748, NSW","None",32
"Persons Place of Usual Residence","2748, NSW","1-15 hours",118
"Persons Place of Usual Residence","2748, NSW","16-24 hours",99
"Persons Place of Usual Residence","2748, NSW","25-34 hours",82
"Persons Place of Usual Residence","2748, NSW","35-39 hours",162
"Persons Place of Usual Residence","2748, NSW","40 hours",212
"Persons Place of Usual Residence","2748, NSW","41-48 hours",77
"Persons Place of Usual Residence","2748, NSW","49 hours and over",194
"Persons Place of Usual Residence","2748, NSW","Not stated",20
"Persons Place of Usual Residence","2748, NSW","Not applicable",875
"Persons Place of Usual Residence","2749, NSW","None",312
"Persons Place of Usual Residence","2749, NSW","1-15 hours",822
"Persons Place of Usual Residence","2749, NSW","16-24 hours",691
"Persons Place of Usual Residence","2749, NSW","25-34 hours",800
"Persons Place of Usual Residence","2749, NSW","35-39 hours",1776
"Persons Place of Usual Residence","2749, NSW","40 hours",1824
"Persons Place of Usual Residence","2749, NSW","41-48 hours",840
"Persons Place of Usual Residence","2749, NSW","49 hours and over",1394
"Persons Place of Usual Residence","2749, NSW","Not stated",147
"Persons Place of Usual Residence","2749, NSW","Not applicable",8331
"Persons Place of Usual Residence","2750, NSW","None",694
"Persons Place of Usual Residence","2750, NSW","1-15 hours",1937
"Persons Place of Usual Residence","2750, NSW","16-24 hours",1928
"Persons Place of Usual Residence","2750, NSW","25-34 hours",1993
"Persons Place of Usual Residence","2750, NSW","35-39 hours",4427
"Persons Place of Usual Residence","2750, NSW","40 hours",4231
"Persons Place of Usual Residence","2750, NSW","41-48 hours",2116
"Persons Place of Usual Residence","2750, NSW","49 hours and over",3196
"Persons Place of Usual Residence","2750, NSW","Not stated",383
"Persons Place of Usual Residence","2750, NSW","Not applicable",23905
"Persons Place of Usual Residence","2752, NSW","None",74
"Persons Place of Usual Residence","2752, NSW","1-15 hours",255
"Persons Place of Usual Residence","2752, NSW","16-24 hours",227
"Persons Place of Usual Residence","2752, NSW","25-34 hours",231
"Persons Place of Usual Residence","2752, NSW","35-39 hours",462
"Persons Place of Usual Residence","2752, NSW","40 hours",538
"Persons Place of Usual Residence","2752, NSW","41-48 hours",234
"Persons Place of Usual Residence","2752, NSW","49 hours and over",518
"Persons Place of Usual Residence","2752, NSW","Not stated",37
"Persons Place of Usual Residence","2752, NSW","Not applicable",2347
"Persons Place of Usual Residence","2753, NSW","None",234
"Persons Place of Usual Residence","2753, NSW","1-15 hours",894
"Persons Place of Usual Residence","2753, NSW","16-24 hours",783
"Persons Place of Usual Residence","2753, NSW","25-34 hours",850
"Persons Place of Usual Residence","2753, NSW","35-39 hours",1485
"Persons Place of Usual Residence","2753, NSW","40 hours",1660
"Persons Place of Usual Residence","2753, NSW","41-48 hours",767
"Persons Place of Usual Residence","2753, NSW","49 hours and over",1412
"Persons Place of Usual Residence","2753, NSW","Not stated",186
"Persons Place of Usual Residence","2753, NSW","Not applicable",8867
"Persons Place of Usual Residence","2754, NSW","None",71
"Persons Place of Usual Residence","2754, NSW","1-15 hours",286
"Persons Place of Usual Residence","2754, NSW","16-24 hours",239
"Persons Place of Usual Residence","2754, NSW","25-34 hours",287
"Persons Place of Usual Residence","2754, NSW","35-39 hours",505
"Persons Place of Usual Residence","2754, NSW","40 hours",532
"Persons Place of Usual Residence","2754, NSW","41-48 hours",270
"Persons Place of Usual Residence","2754, NSW","49 hours and over",437
"Persons Place of Usual Residence","2754, NSW","Not stated",42
"Persons Place of Usual Residence","2754, NSW","Not applicable",3023
"Persons Place of Usual Residence","2755, NSW","None",6
"Persons Place of Usual Residence","2755, NSW","1-15 hours",6
"Persons Place of Usual Residence","2755, NSW","16-24 hours",3
"Persons Place of Usual Residence","2755, NSW","25-34 hours",0
"Persons Place of Usual Residence","2755, NSW","35-39 hours",13
"Persons Place of Usual Residence","2755, NSW","40 hours",46
"Persons Place of Usual Residence","2755, NSW","41-48 hours",38
"Persons Place of Usual Residence","2755, NSW","49 hours and over",25
"Persons Place of Usual Residence","2755, NSW","Not stated",0
"Persons Place of Usual Residence","2755, NSW","Not applicable",118
