Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2030, NSW","Not applicable",7497
"Persons Place of Usual Residence","2031, NSW","None",569
"Persons Place of Usual Residence","2031, NSW","1-15 hours",1633
"Persons Place of Usual Residence","2031, NSW","16-24 hours",1708
"Persons Place of Usual Residence","2031, NSW","25-34 hours",1653
"Persons Place of Usual Residence","2031, NSW","35-39 hours",2975
"Persons Place of Usual Residence","2031, NSW","40 hours",4409
"Persons Place of Usual Residence","2031, NSW","41-48 hours",2174
"Persons Place of Usual Residence","2031, NSW","49 hours and over",3842
"Persons Place of Usual Residence","2031, NSW","Not stated",234
"Persons Place of Usual Residence","2031, NSW","Not applicable",15535
"Persons Place of Usual Residence","2032, NSW","None",174
"Persons Place of Usual Residence","2032, NSW","1-15 hours",851
"Persons Place of Usual Residence","2032, NSW","16-24 hours",839
"Persons Place of Usual Residence","2032, NSW","25-34 hours",669
"Persons Place of Usual Residence","2032, NSW","35-39 hours",1139
"Persons Place of Usual Residence","2032, NSW","40 hours",1396
"Persons Place of Usual Residence","2032, NSW","41-48 hours",559
"Persons Place of Usual Residence","2032, NSW","49 hours and over",855
"Persons Place of Usual Residence","2032, NSW","Not stated",128
"Persons Place of Usual Residence","2032, NSW","Not applicable",10081
"Persons Place of Usual Residence","2033, NSW","None",162
"Persons Place of Usual Residence","2033, NSW","1-15 hours",600
"Persons Place of Usual Residence","2033, NSW","16-24 hours",634
"Persons Place of Usual Residence","2033, NSW","25-34 hours",454
"Persons Place of Usual Residence","2033, NSW","35-39 hours",945
"Persons Place of Usual Residence","2033, NSW","40 hours",1279
"Persons Place of Usual Residence","2033, NSW","41-48 hours",542
"Persons Place of Usual Residence","2033, NSW","49 hours and over",971
"Persons Place of Usual Residence","2033, NSW","Not stated",87
"Persons Place of Usual Residence","2033, NSW","Not applicable",5908
"Persons Place of Usual Residence","2034, NSW","None",354
"Persons Place of Usual Residence","2034, NSW","1-15 hours",929
"Persons Place of Usual Residence","2034, NSW","16-24 hours",1018
"Persons Place of Usual Residence","2034, NSW","25-34 hours",966
"Persons Place of Usual Residence","2034, NSW","35-39 hours",1607
"Persons Place of Usual Residence","2034, NSW","40 hours",2705
"Persons Place of Usual Residence","2034, NSW","41-48 hours",1370
"Persons Place of Usual Residence","2034, NSW","49 hours and over",2413
"Persons Place of Usual Residence","2034, NSW","Not stated",156
"Persons Place of Usual Residence","2034, NSW","Not applicable",9203
"Persons Place of Usual Residence","2035, NSW","None",477
"Persons Place of Usual Residence","2035, NSW","1-15 hours",1623
"Persons Place of Usual Residence","2035, NSW","16-24 hours",1719
"Persons Place of Usual Residence","2035, NSW","25-34 hours",1589
"Persons Place of Usual Residence","2035, NSW","35-39 hours",2743
"Persons Place of Usual Residence","2035, NSW","40 hours",3643
"Persons Place of Usual Residence","2035, NSW","41-48 hours",1521
"Persons Place of Usual Residence","2035, NSW","49 hours and over",2637
"Persons Place of Usual Residence","2035, NSW","Not stated",252
"Persons Place of Usual Residence","2035, NSW","Not applicable",18295
"Persons Place of Usual Residence","2036, NSW","None",435
"Persons Place of Usual Residence","2036, NSW","1-15 hours",1354
"Persons Place of Usual Residence","2036, NSW","16-24 hours",1306
"Persons Place of Usual Residence","2036, NSW","25-34 hours",1356
"Persons Place of Usual Residence","2036, NSW","35-39 hours",2439
"Persons Place of Usual Residence","2036, NSW","40 hours",2987
"Persons Place of Usual Residence","2036, NSW","41-48 hours",1150
"Persons Place of Usual Residence","2036, NSW","49 hours and over",1946
"Persons Place of Usual Residence","2036, NSW","Not stated",271
"Persons Place of Usual Residence","2036, NSW","Not applicable",17168
"Persons Place of Usual Residence","2037, NSW","None",249
"Persons Place of Usual Residence","2037, NSW","1-15 hours",895
"Persons Place of Usual Residence","2037, NSW","16-24 hours",864
"Persons Place of Usual Residence","2037, NSW","25-34 hours",744
"Persons Place of Usual Residence","2037, NSW","35-39 hours",1350
"Persons Place of Usual Residence","2037, NSW","40 hours",1752
"Persons Place of Usual Residence","2037, NSW","41-48 hours",968
"Persons Place of Usual Residence","2037, NSW","49 hours and over",1587
"Persons Place of Usual Residence","2037, NSW","Not stated",128
"Persons Place of Usual Residence","2037, NSW","Not applicable",7592
"Persons Place of Usual Residence","2038, NSW","None",172
"Persons Place of Usual Residence","2038, NSW","1-15 hours",456
"Persons Place of Usual Residence","2038, NSW","16-24 hours",488
"Persons Place of Usual Residence","2038, NSW","25-34 hours",508
"Persons Place of Usual Residence","2038, NSW","35-39 hours",739
"Persons Place of Usual Residence","2038, NSW","40 hours",1138
"Persons Place of Usual Residence","2038, NSW","41-48 hours",644
"Persons Place of Usual Residence","2038, NSW","49 hours and over",1151
"Persons Place of Usual Residence","2038, NSW","Not stated",65
