Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","INCP Total Personal Income (weekly)","Count",
"Persons Place of Usual Residence","2018, NSW","$650-$799 ($33,800-$41,599)",1001
"Persons Place of Usual Residence","2018, NSW","$800-$999 ($41,600-$51,999)",1131
"Persons Place of Usual Residence","2018, NSW","$1,000-$1,249 ($52,000-$64,999)",1319
"Persons Place of Usual Residence","2018, NSW","$1,250-$1,499 ($65,000-$77,999)",840
"Persons Place of Usual Residence","2018, NSW","$1,500-$1,749 ($78,000-$90,999)",731
"Persons Place of Usual Residence","2018, NSW","$1,750-$1,999 ($91,000-$103,999)",532
"Persons Place of Usual Residence","2018, NSW","$2,000-$2,999 ($104,000-$155,999)",792
"Persons Place of Usual Residence","2018, NSW","$3,000 or more ($156,000 or more)",330
"Persons Place of Usual Residence","2018, NSW","Not stated",1226
"Persons Place of Usual Residence","2018, NSW","Not applicable",2597
"Persons Place of Usual Residence","2018, NSW","Total",17028
"Persons Place of Usual Residence","2019, NSW","Negative income",35
"Persons Place of Usual Residence","2019, NSW","Nil income",721
"Persons Place of Usual Residence","2019, NSW","$1-$149 ($1-$7,799)",253
"Persons Place of Usual Residence","2019, NSW","$150-$299 ($7,800-$15,599)",376
"Persons Place of Usual Residence","2019, NSW","$300-$399 ($15,600-$20,799)",510
"Persons Place of Usual Residence","2019, NSW","$400-$499 ($20,800-$25,999)",516
"Persons Place of Usual Residence","2019, NSW","$500-$649 ($26,000-$33,799)",509
"Persons Place of Usual Residence","2019, NSW","$650-$799 ($33,800-$41,599)",575
"Persons Place of Usual Residence","2019, NSW","$800-$999 ($41,600-$51,999)",720
"Persons Place of Usual Residence","2019, NSW","$1,000-$1,249 ($52,000-$64,999)",817
"Persons Place of Usual Residence","2019, NSW","$1,250-$1,499 ($65,000-$77,999)",684
"Persons Place of Usual Residence","2019, NSW","$1,500-$1,749 ($78,000-$90,999)",593
"Persons Place of Usual Residence","2019, NSW","$1,750-$1,999 ($91,000-$103,999)",460
"Persons Place of Usual Residence","2019, NSW","$2,000-$2,999 ($104,000-$155,999)",676
"Persons Place of Usual Residence","2019, NSW","$3,000 or more ($156,000 or more)",283
"Persons Place of Usual Residence","2019, NSW","Not stated",871
"Persons Place of Usual Residence","2019, NSW","Not applicable",2229
"Persons Place of Usual Residence","2019, NSW","Total",10840
"Persons Place of Usual Residence","2020, NSW","Negative income",78
"Persons Place of Usual Residence","2020, NSW","Nil income",1605
"Persons Place of Usual Residence","2020, NSW","$1-$149 ($1-$7,799)",339
"Persons Place of Usual Residence","2020, NSW","$150-$299 ($7,800-$15,599)",609
"Persons Place of Usual Residence","2020, NSW","$300-$399 ($15,600-$20,799)",767
