Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MSTP Registered Marital Status","Count",
"Persons Place of Usual Residence","2043, NSW","Married",1881
"Persons Place of Usual Residence","2043, NSW","Not applicable",885
"Persons Place of Usual Residence","2043, NSW","Total",8014
"Persons Place of Usual Residence","2044, NSW","Never married",3383
"Persons Place of Usual Residence","2044, NSW","Widowed",227
"Persons Place of Usual Residence","2044, NSW","Divorced",540
"Persons Place of Usual Residence","2044, NSW","Separated",191
"Persons Place of Usual Residence","2044, NSW","Married",2337
"Persons Place of Usual Residence","2044, NSW","Not applicable",1171
"Persons Place of Usual Residence","2044, NSW","Total",7840
"Persons Place of Usual Residence","2045, NSW","Never married",1741
"Persons Place of Usual Residence","2045, NSW","Widowed",396
"Persons Place of Usual Residence","2045, NSW","Divorced",310
"Persons Place of Usual Residence","2045, NSW","Separated",106
"Persons Place of Usual Residence","2045, NSW","Married",2694
"Persons Place of Usual Residence","2045, NSW","Not applicable",1206
"Persons Place of Usual Residence","2045, NSW","Total",6453
"Persons Place of Usual Residence","2046, NSW","Never married",7009
"Persons Place of Usual Residence","2046, NSW","Widowed",1359
"Persons Place of Usual Residence","2046, NSW","Divorced",1884
"Persons Place of Usual Residence","2046, NSW","Separated",538
"Persons Place of Usual Residence","2046, NSW","Married",11238
"Persons Place of Usual Residence","2046, NSW","Not applicable",4790
"Persons Place of Usual Residence","2046, NSW","Total",26822
"Persons Place of Usual Residence","2047, NSW","Never married",3558
"Persons Place of Usual Residence","2047, NSW","Widowed",587
"Persons Place of Usual Residence","2047, NSW","Divorced",936
"Persons Place of Usual Residence","2047, NSW","Separated",244
"Persons Place of Usual Residence","2047, NSW","Married",4717
"Persons Place of Usual Residence","2047, NSW","Not applicable",1906
"Persons Place of Usual Residence","2047, NSW","Total",11950
"Persons Place of Usual Residence","2048, NSW","Never married",3723
"Persons Place of Usual Residence","2048, NSW","Widowed",196
"Persons Place of Usual Residence","2048, NSW","Divorced",519
"Persons Place of Usual Residence","2048, NSW","Separated",117
"Persons Place of Usual Residence","2048, NSW","Married",2271
"Persons Place of Usual Residence","2048, NSW","Not applicable",1110
"Persons Place of Usual Residence","2048, NSW","Total",7940
"Persons Place of Usual Residence","2049, NSW","Never married",5219
"Persons Place of Usual Residence","2049, NSW","Widowed",321
"Persons Place of Usual Residence","2049, NSW","Divorced",806
"Persons Place of Usual Residence","2049, NSW","Separated",229
"Persons Place of Usual Residence","2049, NSW","Married",3167
"Persons Place of Usual Residence","2049, NSW","Not applicable",1536
"Persons Place of Usual Residence","2049, NSW","Total",11278
"Persons Place of Usual Residence","2050, NSW","Never married",5561
"Persons Place of Usual Residence","2050, NSW","Widowed",136
"Persons Place of Usual Residence","2050, NSW","Divorced",554
"Persons Place of Usual Residence","2050, NSW","Separated",128
"Persons Place of Usual Residence","2050, NSW","Married",1900
"Persons Place of Usual Residence","2050, NSW","Not applicable",678
"Persons Place of Usual Residence","2050, NSW","Total",8967
"Persons Place of Usual Residence","2052, NSW","Never married",3201
"Persons Place of Usual Residence","2052, NSW","Widowed",5
