Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","AGE5P - Age in Five Year Groups","Count",
"Persons Place of Usual Residence","2019, NSW","Total",10840
"Persons Place of Usual Residence","2020, NSW","0-4 years",860
"Persons Place of Usual Residence","2020, NSW","5-9 years",610
"Persons Place of Usual Residence","2020, NSW","10-14 years",484
"Persons Place of Usual Residence","2020, NSW","15-19 years",838
"Persons Place of Usual Residence","2020, NSW","20-24 years",1556
"Persons Place of Usual Residence","2020, NSW","25-29 years",2183
"Persons Place of Usual Residence","2020, NSW","30-34 years",1886
"Persons Place of Usual Residence","2020, NSW","35-39 years",1354
"Persons Place of Usual Residence","2020, NSW","40-44 years",968
"Persons Place of Usual Residence","2020, NSW","45-49 years",783
"Persons Place of Usual Residence","2020, NSW","50-54 years",735
"Persons Place of Usual Residence","2020, NSW","55-59 years",657
"Persons Place of Usual Residence","2020, NSW","60-64 years",539
"Persons Place of Usual Residence","2020, NSW","65-69 years",391
"Persons Place of Usual Residence","2020, NSW","70-74 years",302
"Persons Place of Usual Residence","2020, NSW","75-79 years",270
"Persons Place of Usual Residence","2020, NSW","80-84 years",195
"Persons Place of Usual Residence","2020, NSW","85-89 years",93
"Persons Place of Usual Residence","2020, NSW","90-94 years",35
"Persons Place of Usual Residence","2020, NSW","95-99 years",12
"Persons Place of Usual Residence","2020, NSW","100 years and over",0
"Persons Place of Usual Residence","2020, NSW","Total",14771
"Persons Place of Usual Residence","2021, NSW","0-4 years",806
"Persons Place of Usual Residence","2021, NSW","5-9 years",674
"Persons Place of Usual Residence","2021, NSW","10-14 years",524
"Persons Place of Usual Residence","2021, NSW","15-19 years",441
"Persons Place of Usual Residence","2021, NSW","20-24 years",1010
"Persons Place of Usual Residence","2021, NSW","25-29 years",1943
"Persons Place of Usual Residence","2021, NSW","30-34 years",1877
"Persons Place of Usual Residence","2021, NSW","35-39 years",1522
"Persons Place of Usual Residence","2021, NSW","40-44 years",1170
"Persons Place of Usual Residence","2021, NSW","45-49 years",1060
"Persons Place of Usual Residence","2021, NSW","50-54 years",922
"Persons Place of Usual Residence","2021, NSW","55-59 years",769
"Persons Place of Usual Residence","2021, NSW","60-64 years",633
"Persons Place of Usual Residence","2021, NSW","65-69 years",648
"Persons Place of Usual Residence","2021, NSW","70-74 years",568
"Persons Place of Usual Residence","2021, NSW","75-79 years",354
"Persons Place of Usual Residence","2021, NSW","80-84 years",190
"Persons Place of Usual Residence","2021, NSW","85-89 years",129
"Persons Place of Usual Residence","2021, NSW","90-94 years",58
"Persons Place of Usual Residence","2021, NSW","95-99 years",11
"Persons Place of Usual Residence","2021, NSW","100 years and over",0
"Persons Place of Usual Residence","2021, NSW","Total",15312
"Persons Place of Usual Residence","2022, NSW","0-4 years",739
"Persons Place of Usual Residence","2022, NSW","5-9 years",615
"Persons Place of Usual Residence","2022, NSW","10-14 years",481
"Persons Place of Usual Residence","2022, NSW","15-19 years",460
"Persons Place of Usual Residence","2022, NSW","20-24 years",780
"Persons Place of Usual Residence","2022, NSW","25-29 years",1441
"Persons Place of Usual Residence","2022, NSW","30-34 years",1383
"Persons Place of Usual Residence","2022, NSW","35-39 years",1192
"Persons Place of Usual Residence","2022, NSW","40-44 years",900
"Persons Place of Usual Residence","2022, NSW","45-49 years",822
"Persons Place of Usual Residence","2022, NSW","50-54 years",659
"Persons Place of Usual Residence","2022, NSW","55-59 years",631
"Persons Place of Usual Residence","2022, NSW","60-64 years",512
"Persons Place of Usual Residence","2022, NSW","65-69 years",514
"Persons Place of Usual Residence","2022, NSW","70-74 years",411
"Persons Place of Usual Residence","2022, NSW","75-79 years",356
"Persons Place of Usual Residence","2022, NSW","80-84 years",296
"Persons Place of Usual Residence","2022, NSW","85-89 years",184
"Persons Place of Usual Residence","2022, NSW","90-94 years",96
"Persons Place of Usual Residence","2022, NSW","95-99 years",21
